feature,model_vars,default
bank_txn_balance_ewma_resid_ac1_28d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_ac1_56d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_ac1_7d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_ac1_84d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_mae_14d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_mae_168d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_mae_182d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_mae_28d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_mae_56d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_mae_7d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_mae_84d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_std_14d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_std_168d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_std_182d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_std_28d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_std_56d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_std_7d,model_vars_balance,-1000000
bank_txn_balance_ewma_resid_std_84d,model_vars_balance,-1000000
bank_txn_balance_extreme_ratio_14d,model_vars_balance,-1000000
bank_txn_balance_extreme_ratio_168d,model_vars_balance,-1000000
bank_txn_balance_extreme_ratio_182d,model_vars_balance,-1000000
bank_txn_balance_extreme_ratio_28d,model_vars_balance,-1000000
bank_txn_balance_extreme_ratio_56d,model_vars_balance,-1000000
bank_txn_balance_extreme_ratio_7d,model_vars_balance,-1000000
bank_txn_balance_extreme_ratio_84d,model_vars_balance,-1000000
bank_txn_balance_fluctuation_anomaly_days_14d,model_vars_balance,-1000000
bank_txn_balance_fluctuation_anomaly_days_168d,model_vars_balance,-1000000
bank_txn_balance_fluctuation_anomaly_days_182d,model_vars_balance,-1000000
bank_txn_balance_fluctuation_anomaly_days_28d,model_vars_balance,-1000000
bank_txn_balance_fluctuation_anomaly_days_56d,model_vars_balance,-1000000
bank_txn_balance_fluctuation_anomaly_days_7d,model_vars_balance,-1000000
bank_txn_balance_fluctuation_anomaly_days_84d,model_vars_balance,-1000000
bank_txn_balance_global_balance_to_debit_ratio_mean_14d,model_vars_balance,-1000000
bank_txn_balance_global_balance_to_debit_ratio_mean_168d,model_vars_balance,-1000000
bank_txn_balance_global_balance_to_debit_ratio_mean_182d,model_vars_balance,-1000000
bank_txn_balance_global_balance_to_debit_ratio_mean_28d,model_vars_balance,-1000000
bank_txn_balance_global_balance_to_debit_ratio_mean_56d,model_vars_balance,-1000000
bank_txn_balance_global_balance_to_debit_ratio_mean_7d,model_vars_balance,-1000000
bank_txn_balance_global_balance_to_debit_ratio_mean_84d,model_vars_balance,-1000000
bank_txn_balance_global_coverage_ratio_14d,model_vars_balance,-1000000
bank_txn_balance_global_coverage_ratio_168d,model_vars_balance,-1000000
bank_txn_balance_global_coverage_ratio_182d,model_vars_balance,-1000000
bank_txn_balance_global_coverage_ratio_28d,model_vars_balance,-1000000
bank_txn_balance_global_coverage_ratio_56d,model_vars_balance,-1000000
bank_txn_balance_global_coverage_ratio_7d,model_vars_balance,-1000000
bank_txn_balance_global_coverage_ratio_84d,model_vars_balance,-1000000
