loan_regular,account_type,tag_level1,dr_cr,tag_level2,category
Regular Account,Unlabeled,INCOME,credit,Other Income,Overdrawn
Regular Account,Unlabeled,INCOME,credit,Other Income,Personal Care
Regular Account,Unlabeled,INCOME,credit,Other Income,Pet Care
Regular Account,Unlabeled,INCOME,credit,Other Income,Rent
Regular Account,Unlabeled,LIABILITY,credit,Refund_Or_Reversal,Dishonours
Regular Account,Unlabeled,INCOME,credit,Other Income,Retail
Regular Account,Unlabeled,EXPENSE,debit,Fees,Fees
Regular Account,Unlabeled,INCOME,credit,Other Income,Subscription TV
Regular Account,Unlabeled,EXPENSE,debit,Insurance,Insurance
Regular Account,Unlabeled,INCOME,credit,Other Income,Telecommunications
Regular Account,Unlabeled,EXPENSE,debit,Overdrawn,Overdrawn
Regular Account,Unlabeled,INCOME,credit,Other Income,Transport
Regular Account,Unlabeled,INCOME,credit,Other Income,Travel
Regular Account,Unlabeled,INCOME,credit,Other Income,Utilities
Regular Account,Unlabeled,EXPENSE,debit,Education,Education
Regular Account,Unlabeled,INCOME,credit,Wages,Wages
